File,Mean1,Variance2,Skewness3,Kurtosis4,Energy5,Entropy6,class
Medial Tibia of Normal_59.jpg,5.28E+00,1.19E+00,-2.79E-02,2.85E+00,2.55E-01,1.50E+00,Nor
Medial Tibia of Normal_6.jpg,5.15E+00,1.23E+00,9.60E-02,2.91E+00,2.56E-01,1.52E+00,Nor
Medial Tibia of Normal_60.jpg,4.21E+00,9.36E-01,-8.97E-02,2.94E+00,2.89E-01,1.38E+00,Nor
Medial Tibia of Normal_61.jpg,4.78E+00,1.11E+00,4.33E-01,3.42E+00,2.79E-01,1.45E+00,Nor
Medial Tibia of Normal_62.jpg,5.15E+00,1.54E+00,2.09E-01,2.92E+00,2.27E-01,1.63E+00,Nor
Medial Tibia of Normal_63.jpg,4.33E+00,1.23E+00,1.71E-01,3.17E+00,2.58E-01,1.52E+00,Nor
Medial Tibia of Normal_7.jpg,4.65E+00,1.50E+00,5.68E-02,2.54E+00,2.23E-01,1.61E+00,Nor
Medial Tibia of Normal_8.jpg,4.97E+00,1.11E+00,1.62E-01,3.15E+00,2.71E-01,1.47E+00,Nor
Medial Tibia of Normal_9.jpg,4.88E+00,1.05E+00,1.80E-01,3.09E+00,2.76E-01,1.44E+00,Nor
Medial Tibia of OA_1.jpg,4.87E+00,1.32E+00,-2.21E-02,3.05E+00,2.51E-01,1.55E+00,OA
Medial Tibia of OA_10.jpg,4.61E+00,1.11E+00,1.80E-01,3.37E+00,2.74E-01,1.47E+00,OA
Medial Tibia of OA_11.jpg,4.64E+00,1.17E+00,1.56E-01,2.94E+00,2.61E-01,1.49E+00,OA
Medial Tibia of OA_12.jpg,4.96E+00,1.15E+00,1.78E-01,3.14E+00,2.70E-01,1.48E+00,OA
Medial Tibia of OA_13.jpg,4.99E+00,1.41E+00,9.19E-02,2.78E+00,2.33E-01,1.59E+00,OA
Medial Tibia of OA_14.jpg,4.92E+00,1.13E+00,1.39E-01,3.12E+00,2.70E-01,1.48E+00,OA
Medial Tibia of OA_15.jpg,5.10E+00,1.71E+00,4.45E-02,2.56E+00,2.10E-01,1.68E+00,OA
Medial Tibia of OA_16.jpg,5.46E+00,1.37E+00,-2.04E-01,2.90E+00,2.40E-01,1.57E+00,OA
Medial Tibia of OA_17.jpg,3.71E+00,1.17E+00,4.09E-01,3.09E+00,2.61E-01,1.48E+00,OA
Medial Tibia of OA_18.jpg,4.99E+00,1.03E+00,-1.63E-01,3.30E+00,2.87E-01,1.43E+00,OA
Medial Tibia of OA_19.jpg,4.86E+00,1.50E+00,2.00E-02,2.97E+00,2.30E-01,1.62E+00,OA
Medial Tibia of OA_2.jpg,5.34E+00,1.24E+00,-2.32E-01,3.43E+00,2.66E-01,1.51E+00,OA
Medial Tibia of OA_20.jpg,5.01E+00,1.35E+00,1.58E-03,2.83E+00,2.40E-01,1.57E+00,OA
Medial Tibia of OA_21.jpg,4.74E+00,1.46E+00,4.11E-02,2.89E+00,2.31E-01,1.61E+00,OA
Medial Tibia of OA_22.jpg,4.35E+00,8.88E-01,1.68E-01,2.93E+00,2.99E-01,1.36E+00,OA
Medial Tibia of OA_23.jpg,4.54E+00,1.19E+00,6.82E-02,3.11E+00,2.61E-01,1.50E+00,OA
Medial Tibia of OA_24.jpg,4.87E+00,1.53E+00,9.39E-02,2.91E+00,2.30E-01,1.63E+00,OA
Medial Tibia of OA_25.jpg,5.07E+00,2.06E+00,-1.09E-01,2.49E+00,1.90E-01,1.77E+00,OA
Medial Tibia of OA_26.jpg,5.18E+00,9.38E-01,-8.50E-02,3.51E+00,2.99E-01,1.38E+00,OA
Medial Tibia of OA_27.jpg,4.90E+00,1.58E+00,9.26E-02,2.54E+00,2.18E-01,1.64E+00,OA
Medial Tibia of OA_28.jpg,4.71E+00,1.44E+00,1.60E-01,3.03E+00,2.35E-01,1.60E+00,OA
Medial Tibia of OA_29.jpg,5.05E+00,1.38E+00,1.58E-02,2.71E+00,2.35E-01,1.57E+00,OA
Medial Tibia of OA_3.jpg,4.83E+00,1.37E+00,2.16E-03,2.71E+00,2.36E-01,1.57E+00,OA
Medial Tibia of OA_30.jpg,5.31E+00,1.29E+00,-1.46E-01,3.08E+00,2.51E-01,1.54E+00,OA
Medial Tibia of OA_31.jpg,4.71E+00,1.79E+00,1.01E-01,2.83E+00,2.09E-01,1.71E+00,OA
Medial Tibia of OA_32.jpg,4.76E+00,1.06E+00,1.57E-01,3.07E+00,2.75E-01,1.44E+00,OA
Medial Tibia of OA_33.jpg,5.46E+00,1.09E+00,-5.94E-02,3.23E+00,2.74E-01,1.46E+00,OA
Medial Tibia of OA_34.jpg,6.01E+00,9.96E-01,-2.22E-01,3.45E+00,2.88E-01,1.41E+00,OA
Medial Tibia of OA_35.jpg,4.58E+00,1.54E+00,1.99E-01,3.11E+00,2.30E-01,1.63E+00,OA
Medial Tibia of OA_36.jpg,4.62E+00,1.16E+00,7.94E-02,3.24E+00,2.64E-01,1.49E+00,OA
